name,description,Teacher
Soft Computing,Lecture,Chetan Awati
Data Mining,Lecture,Rashmi Deshmukh
Industrial Management,Lecture,Rupali Dhabarde
Information Security,Lecture,Amrita Manjrekar
Mobile Technology,Lecture,Ramesh Khandagale
Network Engineering,Lecture,Shivneri Toraskar
Advanced Database Management System,Lecture,Suresh Tirmare
Advanced Computer Architecture,Lecture,Gayatri Bhosale
Distributed Systems,Lecture,Amarja Rathod
